a.m.%4:02:00::	A1
abandon%2:31:00::	B2
abandon%2:31:01::	C1
abandon%2:40:00::	B2
abandoned%5:00:00:uninhabited:00	B2
ability%1:07:00::	B1
ability%1:09:00::	B1
able%5:00:00:competent:00	C2
abnormal%3:00:00::	C1
aboard%4:02:01::	C1
abolish%2:41:00::	B2
abortion%1:04:00::	C1
about%4:02:00::	A1
above%4:02:01::	A1
abroad%4:02:00::	B1
abrupt%5:00:00:discourteous:00	C2
abrupt%5:00:00:sudden:00	C2
abruptly%4:02:00::	C2
absence%1:04:00::	B2
absence%1:26:00::	B2
absent%3:00:00::	B1
absolute%3:00:00::	B2
absolute%5:00:01:complete:00	B2
absolutely%4:02:00::	B1
absolutely%4:02:01::	B1
absorb%2:31:00::	C1
absorb%2:35:00::	B2
absorb%2:35:01::	B2
absorb%2:35:10::	B2
absorb%2:43:00::	B2
abstract%3:00:00::	B2
abstract%5:00:00:nonrepresentational:00	B2
abuse%1:04:01::	B2
abuse%1:04:02::	B2
abuse%1:10:00::	C2
abusive%5:00:00:offensive:02	C2
accelerate%2:30:00::	C2
accelerate%2:30:01::	C2
accent%1:10:02::	B2
accept%2:31:00::	B2
accept%2:32:00::	B1
accept%2:40:00::	B1
accept%2:40:03::	B2
acceptable%3:00:00::	B1
acceptable%5:00:00:fit:02	B1
acceptable%5:00:00:standard:03	C1
acceptance%1:04:03::	C1
accepted%5:00:00:acknowledged:00	C1
access%1:06:00::	B1
access%1:07:01::	B1
access%2:40:00::	B2
accessible%3:00:00::	B2
accessible%5:00:00:available:00	B2
accessible%5:00:00:comprehensible:00	C2
accident%1:11:01::	A2
accidental%5:00:00:unintended:00	B2
accidentally%4:02:02::	B1
accompany%2:36:00::	C2
accompany%2:38:00::	B1
accompany%2:42:01::	B1
accomplish%2:41:00::	C1
account%1:10:00::	B2
account%1:10:03::	B2
account%1:10:05::	B2
account%1:26:00::	B1
accountable%5:00:00:responsible:00	C2
accountant%1:18:00::	B1
accumulate%2:40:00::	C1
accuracy%1:07:02::	B2
accurate%3:00:00::	B2
accurate%5:00:00:correct:00	B2
accurately%4:02:01::	B2
accurately%4:02:02::	B2
accusation%1:10:01::	C1
accuse%2:32:00::	B2
accuse%2:32:01::	B2
ache%1:26:00::	B1
achieve%2:41:00::	B1
acid%1:27:00::	B2
acknowledge%2:32:00::	C1
acknowledge%2:32:04::	C1
acquaintance%1:18:00::	C1
acquaintance%1:26:00::	C1
acquire%2:30:05::	B2
acquire%2:31:00::	B2
acquire%2:40:00::	B2
acre%1:23:00::	C2
across%4:02:00::	A2
across%4:02:01::	A2
act%1:03:00::	B2
act%1:10:00::	B1
act%1:10:03::	C2
act%2:29:00::	B1
act%2:36:00::	B1
act%2:36:03::	B1
act%2:41:00::	B2
action%1:04:01::	C1
action%1:04:02::	B2
action%1:04:03::	C2
active%3:00:01::	B1
active%3:00:04::	C1
active%3:00:05::	C1
active%3:00:06::	B1
active%3:00:09::	B1
actively%4:02:00::	B2
actor%1:18:00::	A2
actual%3:00:00::	B2
actual%5:00:00:real:00	B2
actual%5:00:02:real:00	B2
actually%4:02:00::	B1
actually%4:02:01::	A2
ad%1:10:00::	A1
adapt%2:30:01::	B2
adapt%2:30:02::	B2
adaptation%1:22:00::	C1
add%2:30:00::	A2
add%2:31:00::	A2
add%2:32:00::	A2
add%2:32:01::	B1
addicted%3:00:00::	B2
